Date,State,Disease,Disease_Count
31-07-2019,Telangana,Fever,5
31-07-2019,Telangana,continuous abdominal cramp Problems,1
31-07-2019,Telangana,G.28. SWELLINGS LUMPS BUMPS ON OR UNDER SKIN,1
31-07-2019,Telangana,Drowsiness,1
31-07-2019,Telangana,Cough,1
01-08-2019,Telangana,Fever,6
01-08-2019,Telangana,G.28. SWELLINGS LUMPS BUMPS ON OR UNDER SKIN,4
01-08-2019,Telangana,CONSTIPATION,2
01-08-2019,Telangana,Chronic headache,2
01-08-2019,Telangana,PAIN IN THE ANKLES OR FEET,1
01-08-2019,Telangana,MISSED OR IRREGULAR PERIODS,1
01-08-2019,Telangana,DIARRHEA,1
01-08-2019,Telangana,Cough,1
01-08-2019,Telangana,BACK PAIN,1
02-08-2019,Telangana,Fever,3
02-08-2019,Telangana,Adjustment problem due to office environment,1
02-08-2019,Telangana,Addiction problem,1
02-08-2019,Telangana,test,1
02-08-2019,Telangana,take more,1
02-08-2019,Telangana,alcohol addiction,1
02-08-2019,Telangana,HAIR LOSS,1
02-08-2019,Telangana,Belching/ Growling Stomach/ Gas,1
03-08-2019,Telangana,Rash,1
03-08-2019,Telangana,BEDWETTING AND TOILET TRAINING,1
03-08-2019,Telangana,BACK PAIN,1
04-08-2019,Telangana,Fever,12
04-08-2019,Telangana,FEVER IN CHILDREN,1
04-08-2019,Telangana,DIARRHEA,1
04-08-2019,Telangana,Chronic headache,1
04-08-2019,Telangana,Chest pain,1
04-08-2019,Telangana,CONSTIPATION,1
04-08-2019,Telangana,Stomach ache,1
05-08-2019,Telangana,Fever,5
05-08-2019,Telangana,BLOOD IN THE URINE,1
05-08-2019,Telangana,Stomach ache,1
05-08-2019,Telangana,Chronic headache,1
06-08-2019,Telangana,Fever,2
13-08-2019,Telangana,Fever,2
13-08-2019,Telangana,Cough,1
13-08-2019,Telangana,PAIN IN THE ANKLES OR FEET,1
13-08-2019,Telangana,MISSED OR IRREGULAR PERIODS,1
14-08-2019,Telangana,MISSED OR IRREGULAR PERIODS,2
10-09-2019,Telangana,Fever,14
10-09-2019,Telangana,BACK PAIN,3
10-09-2019,Telangana,G.28. SWELLINGS LUMPS BUMPS ON OR UNDER SKIN,2
10-09-2019,Telangana,Belching/ Growling Stomach/ Gas,2
10-09-2019,Telangana,Chronic headache,2
10-09-2019,Telangana,NECK PAIN,1
10-09-2019,Telangana,Knee Pain,1
10-09-2019,Telangana,Ear Pain or Pressure,1
10-09-2019,Telangana,Discharge from the eye,1
10-09-2019,Telangana,Chest pain,1
10-09-2019,Telangana,Stomach ache,1
10-09-2019,Telangana,continuous abdominal pain/upset Problems,1
10-09-2019,Telangana,test 12-09-2019,1
10-09-2019,Telangana,life style issue,1
10-09-2019,Telangana,continuous abdominal cramp Problems,1
10-09-2019,Telangana,Tooth Pain,1
10-09-2019,Telangana,SEVERE OR SUDDEN ABDOMINAL PAIN,1
10-09-2019,Telangana,SCALING DISORDERS OF SKIN,1
10-09-2019,Telangana,Rash,1
10-09-2019,Telangana,RECURRING ABDOMINAL PAIN,1
11-09-2019,Telangana,Fever,12
11-09-2019,Telangana,BACK PAIN,8
11-09-2019,Telangana,G.28. SWELLINGS LUMPS BUMPS ON OR UNDER SKIN,4
11-09-2019,Telangana,Chronic headache,3
11-09-2019,Telangana,Stomach ache,3
11-09-2019,Telangana,Belching/ Growling Stomach/ Gas,2
11-09-2019,Telangana,Chest pain,2
11-09-2019,Telangana,continuous abdominal pain/upset Problems,2
11-09-2019,Telangana,Knee Pain,2
11-09-2019,Telangana,MISSED OR IRREGULAR PERIODS,2
11-09-2019,Telangana,Rash,2
11-09-2019,Telangana,alcohol,1
11-09-2019,Telangana,phobia,1
11-09-2019,Telangana,anxiety,1
11-09-2019,Telangana,DIARRHEA,1
11-09-2019,Telangana,ACUTE ALCOHOL INTOXICATION,1
